 Configuration with minimum energy:           61
 Configuration with maximum energy:            1

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
        47      1536  0.604776E-02      0.0427    0.2781E-04
        48      1536  0.680976E-02      0.0427    0.2781E-04
        49       192  0.906750E-02      0.0053    0.2781E-04
        50       192  0.907124E-02      0.0053    0.2781E-04
        51       384  0.747634E-02      0.0107    0.2781E-04
        52       768  0.529524E-02      0.0214    0.2781E-04
        53       768  0.529150E-02      0.0214    0.2781E-04
        54       768  0.605408E-02      0.0214    0.2781E-04
        55       768  0.605941E-02      0.0214    0.2781E-04
        56        96  0.588354E-02      0.0027    0.2781E-04
        57       768  0.370200E-02      0.0214    0.2781E-04
        58       768  0.446093E-02      0.0214    0.2781E-04
        59       768  0.369858E-02      0.0214    0.2781E-04
        60       768  0.446599E-02      0.0214    0.2781E-04
        61        64  0.000000E+00      0.0018    0.2781E-04
        62       384  0.752180E-03      0.0107    0.2781E-04
        63       768  0.151542E-02      0.0214    0.2781E-04
        64       256  0.228356E-02      0.0071    0.2781E-04
        65       192  0.151633E-02      0.0053    0.2781E-04
        66       768  0.228149E-02      0.0214    0.2781E-04
        67       256  0.227520E-02      0.0071    0.2781E-04
        68       768  0.304311E-02      0.0214    0.2781E-04
        69       192  0.304866E-02      0.0053    0.2781E-04
        70       384  0.380529E-02      0.0107    0.2781E-04
        71        64  0.456215E-02      0.0018    0.2781E-04
